"Bronhouder"	"VTHobject ID"	"Bedrijfstype"	"Beëndigd"	"Adres"	"Gemeente"	"Aantal stallen"	"IPPC"	"NH3 emissie (kg/j)"	"Geur emissie (ouE/s)"	"Fijnstof emissie (g/j)"	"BAG VBO X"	"BAG VBO Y"	"Gem. emissie X"	"Gem. emissie Y"	"Besluitdatum"	"Zaaktype"
"ODA"	"ODA2015E3539"		"Nee"	"Geerdinksdijk 14 7271NC Borculo"	"Berkelland"	"7"	"Nee"	"1.878,00"	"712,00"	"18.187,60"	"234776"	"456857"	"0"	"0"	"2025-11-18"	"NL09 Melding Activiteit Behandelen"
"ODA"	"ODA2015E3543"		"Nee"	"Kempsestraat 6 7031HE Wehl"	"Doetinchem"	"3"	"Nee"	"821,00"	"4.025,00"	"29.429,40"	"208004"	"441471"	"0"	"0"	"2016-12-02"	"NL09 Melding Activiteit Behandelen"
"ODA"	"ODA2015E3557"		"Nee"	"Kerkstraat 71 7011CK Gaanderen"	"Doetinchem"	"2"	"Nee"	"1.608,00"	"0,00"	"17.460,00"	"221328"	"439196"	"0"	"0"	"2022-01-10"	"NL01 Advies Verstrekken"
"ODA"	"ODA2015E3563"		"Nee"	"Wiggersweg 10 7108BC Winterswijk Woold"	"Winterswijk"	"3"	"Nee"	"2.845,20"	"142,40"	"31.500,00"	"247739"	"437428"	"0"	"0"	"1900-01-01"	""
"ODA"	"ODA2015E3565"		"Nee"	"Hupselse Markenweg 18 7151NV Eibergen"	"Berkelland"	"2"	"Nee"	"2.614,20"	"0,00"	"23.502,40"	"238419"	"455025"	"0"	"0"	"2025-05-09"	"NL09 Melding Activiteit Behandelen"
"ODA"	"ODA2015E3567"		"Nee"	"Kiekebekkeweg 1 7274DL Geesteren"		"4"	"Nee"	"1.227,90"	"6.624,00"	"47.314,80"	"234775"	"462002"	"0"	"0"	"2019-01-28"	"NL01 Advies Verstrekken"
"ODA"	"ODA2015E3574"		"Nee"	"Kloosterlaan 3 7004HE Doetinchem"		"2"	"Nee"	"1.898,80"	"0,00"	"17.134,00"	"220724"	"440422"	"0"	"0"	"2017-08-22"	"NL01 Advies Verstrekken"
"ODA"	"ODA2015E3576"		"Nee"	"Kloosterstraat 3 7137MZ Lievelde"		"4"	"Ja"	"2.927,00"	"54.395,00"	"158.780,00"	"238362"	"447776"	"0"	"0"	"2020-02-07"	"NL11 Aanvraag Beschikking Uitgebreid Behandelen"
"ODA"	"ODA2015E3580"		"Nee"	"Koksallee 5 7078AB Megchelen"	"Oude IJsselstreek"	"1"	"Nee"	"310,00"	"0,00"	"8.500,00"	"222962"	"429585"	"0"	"0"	"2023-08-14"	"NL09 Melding Activiteit Behandelen"
"ODA"	"ODA2015E3584"		"Nee"	"Koningsweg 4 7255KR Hengelo (Gld)"		"1"	"Nee"	"1.728,00"	"13.248,00"	"88.128,00"	"216306"	"453107"	"0"	"0"	"2018-09-25"	"NL01 Advies Verstrekken"
"ODA"	"ODA2015E3585"		"Nee"	"Koningsweg 4 7152CD Eibergen"	"Berkelland"	"3"	"Nee"	"443,50"	"35,60"	"3.833,00"	"242072"	"455445"	"0"	"0"	"2019-09-17"	"NL01 Advies Verstrekken"
"ODA"	"ODA2015E3596"		"Nee"	"Kottenseweg 174 7107AB Winterswijk Kotten"	"Winterswijk"	"15"	"Ja"	"3.763,32"	"29.885,31"	"161.412,20"	"250956"	"440078"	"0"	"0"	"2025-12-19"	"NL01 Advies Verstrekken"
"ODA"	"ODA2015E3598"		"Nee"	"Griemerweg 3 7274DG Geesteren"	"Berkelland"	"8"	"Nee"	"2.862,60"	"134,85"	"28.752,40"	"234003"	"461059"	"0"	"0"	"2023-10-12"	"NL09 Melding Activiteit Behandelen"
"ODA"	"ODA2015E3599"		"Nee"	"Grindstraat 5 A 7031JJ Wehl"		"4"	"Nee"	"1.855,00"	"0,00"	"26.868,80"	"210830"	"443454"	"0"	"0"	"2020-01-13"	"NL09 Melding Activiteit Behandelen"
"ODA"	"ODA2015E3605"		"Nee"	"Warmseweg 4 7075EP Etten"		"2"	"Nee"	"2.944,60"	"0,00"	"26.613,20"	"218005"	"438669"	"0"	"0"	"2020-02-24"	"NL09 Melding Activiteit Behandelen"
"ODA"	"ODA2015E3607"		"Nee"	"Kruisdijk 11 B 7122JX Aalten"		"4"	"Nee"	"111,50"	"1.044,00"	"459,00"	"233605"	"435111"	"0"	"0"	"2021-04-29"	"NL10 Aanvraag Beschikking Regulier Behandelen"
"ODA"	"ODA2015E3608"		"Nee"	"Kuilenburgerstraat 4 7221NG Steenderen"	"Bronckhorst"	"4"	"Nee"	"8.588,00"	"0,00"	"77.968,00"	"209591"	"451832"	"209540"	"451876"	"2023-04-11"	"NL10 Aanvraag Beschikking Regulier Behandelen"
"ODA"	"ODA2015E3610"		"Nee"	"Groenestraat 19 7031EH Wehl"	"Doetinchem"	"3"	"Nee"	"860,00"	"234,00"	"7.558,40"	"212270"	"441850"	"0"	"0"	"1900-01-01"	""
