"Bronhouder"	"VTHobject ID"	"Bedrijfstype"	"Beëndigd"	"Adres"	"Gemeente"	"Aantal stallen"	"IPPC"	"NH3 emissie (kg/j)"	"Geur emissie (ouE/s)"	"Fijnstof emissie (g/j)"	"BAG VBO X"	"BAG VBO Y"	"Gem. emissie X"	"Gem. emissie Y"	"Besluitdatum"	"Zaaktype"
"ODNML"	"6035PC8"	"Leghennen"	"Nee"	"Ommelpad 8 6035PC Ospel"	"Nederweert"	"3"	"Nee"	"4.998,00"	"5.292,00"	"882.000,00"	"181503"	"368927"	"181491"	"368839"	"2011-01-05"	"Vergunning:Omgevingsvergunning Inrichting"
"ODNML"	"6035PE3"	"Leghennen"	"Nee"	"Relder 3 6035PE Ospel"	"Nederweert"	"4"	"Ja"	"12.488,00"	"27.792,80"	"505.110,00"	"182232"	"369216"	"182272"	"369124"	"2024-04-24"	"Omgevingsvergunning milieuneutraal"
"ODNML"	"6035PG2"	"Zeugen"	"Nee"	"Neulensteeg 2 6035PG OSPEL"	"Nederweert"	"3"	"Ja"	"9.460,00"	"138.591,20"	"1.111.512,00"	"181818"	"368459"	"181755"	"368643"	"2015-11-12"	"Vergunning:milieu neutrale wijziging"
"ODNML"	"6035PH0"	"Vleesvarkens"	"Nee"	"Horick 0 6035PH OSPEL"	"Nederweert"	"1"	"Nee"	"360,00"	"2.760,00"	"18.360,00"	"182668"	"368662"	"182677"	"368663"	"2010-09-17"	"Intrekking gedeeltelijk veebestand"
"ODNML"	"6035PH16"	"Leghennen"	"Nee"	"Horick 16 6035PH Ospel"	"Nederweert"	"4"	"Ja"	"3.851,12"	"31.430,52"	"3.623.972,00"	"182407"	"368589"	"182428"	"368476"	"2025-05-07"	"Omgevingsvergunning milieuneutraal"
"ODNML"	"6035PH1B"	"Leghennen"	"Nee"	"Horick 1B 6035PH Ospel"	"Nederweert"	"1"	"Nee"	"3.295,00"	"7.990,00"	"1.527.500,00"	"182037"	"368446"	"181902"	"368427"	"2011-04-05"	"Vergunning:Beschikkking WM revisievergunning"
"ODNML"	"6035PH34"	"Vleesvarkens"	"Ja"	"Horick 34 6035PH Ospel"	"Nederweert"	"1"	"Nee"	"nu"	"nu"	"nu"	"182936"	"368923"	"182961"	"368919"	"1995-01-31"	"Intrekking gehele veebestand"
"ODNML"	"6035PH7"	"voormalig bedrijf"	"Ja"	"Horick 7 6035PH OSPEL"	"Nederweert"	"2"	"Nee"	"0,00"	"0,00"	"0,00"	"182277"	"368624"	"182265"	"368604"	"2016-07-01"	"Intrekking:intrekking gehele veebestand"
"ODNML"	"6035PH9"	"Vleesvarkens"	"Nee"	"Horick 9 6035PH Ospel"	"Nederweert"	"2"	"Nee"	"1.037,00"	"9.678,00"	"61.074,00"	"182687"	"368723"	"182681"	"368764"	"2015-02-26"	"Vergunning:Omgevingsvergunning Inrichting"
"ODNML"	"6035PJ1EN3"	"Melkrundvee"	"Nee"	"Vlut 1EN 3 6035PJ OSPEL"	"Nederweert"	"2"	"Nee"	"1.718,60"	"0,00"	"15.398,00"	"182664"	"368620"	"182664"	"368620"	"1900-01-01"	"Vergunning:onbekend"
"ODNML"	"6035PM10B"	"Leghennen"	"Nee"	"Kampersweg 10B 6035PM OSPEL"	"Nederweert"	"4"	"Ja"	"4.217,50"	"36.550,00"	"5.208.937,50"	"182496"	"369593"	"182501"	"369630"	"2024-07-15"	"Ambtshalve wijziging"
"ODNML"	"6035PM15"	"Vleesvarkens"	"Nee"	"Kampersweg 15 6035PM Ospel"	"Nederweert"	"6"	"Ja"	"1.210,50"	"53.935,00"	"174.570,00"	"182424"	"369420"	"182358"	"369410"	"2024-12-09"	"Melding Besluit Activiteit Leefomgeving"
"ODNML"	"6035PM17"	"voormalig bedrijf"	"Ja"	"Kampersweg 17 6035PM Ospel"	"Nederweert"	"1"	"Nee"	"0,00"	"0,00"	"0,00"	"182408"	"369475"	"182360"	"369471"	"2013-12-05"	"Intrekking:"
"ODNML"	"6035PM2"	"Biggen"	"Nee"	"Kampersweg 2 6035PM Ospel"	"Nederweert"	"5"	"Nee"	"4.375,50"	"70.785,00"	"310.887,00"	"182288"	"368827"	"182313"	"368771"	"2014-11-13"	"Vergunning:Beschikkking WM revisievergunning"
"ODNML"	"6035PM5"	"Vleesvarkens"	"Nee"	"Kampersweg 5 6035PM OSPEL"	"Nederweert"	"4"	"Ja"	"7.683,60"	"110.068,60"	"879.698,00"	"182242"	"368980"	"182128"	"368999"	"2024-01-31"	"Ambtshalve wijziging"
"ODNML"	"6035PM8"	"Leghennen"	"Nee"	"Kampersweg 8 6035PM Ospel"	"Nederweert"	"3"	"Nee"	"3.476,00"	"5.352,00"	"840.000,00"	"182547"	"369469"	"182593"	"369464"	"2023-07-04"	"Melding activiteitenbesluit met OBM"
"ODNML"	"6035PN2"	"Vleesvee"	"Nee"	"Horickheide 2 6035PN Ospel"	"Nederweert"	"6"	"Nee"	"2.272,50"	"21.644,80"	"21.128,00"	"182507"	"369276"	"182560"	"369238"	"1900-01-01"	"Vergunning:onbekend"
"ODNML"	"6035PN7"	"Paarden"	"Nee"	"Horickheide 7 6035PN Ospel"	"Nederweert"	"2"	"Nee"	"64,99"	"2,04"	"504,00"	"182764"	"369491"	"182786"	"369505"	"2008-10-30"	"Melding activiteitenbesluit"
"ODNML"	"6035PR2"	"Melkrundvee"	"Nee"	"Gabriâ”œÂ½lweg 2 6035PR Ospel"	"Nederweert"	"1"	"Nee"	"61,50"	"0,00"	"1.290,00"	"183090"	"369983"	"183170"	"370006"	"2013-02-19"	"Melding:Activiteitenbesluit"
"ODNML"	"6035PR6"	"voormalig bedrijf"	"Ja"	"Gabrielweg 6 6035PR OSPEL"	"Nederweert"	"2"	"Nee"	"0,00"	"0,00"	"0,00"	"183325"	"369895"	"183325"	"369895"	"2014-11-25"	"Melding:intrekking gehele veebestand"
"ODNML"	"6035PS10"	"voormalig bedrijf"	"Ja"	"Reutskamerdijk 10 6035PS OSPEL"	"Nederweert"	"3"	"Nee"	"0,00"	"0,00"	"0,00"	"183525"	"369780"	"183525"	"369780"	"2015-06-29"	"Intrekking:intrekking gehele veebestand"
"ODNML"	"6035PS2"	"Vleeskuikens"	"Nee"	"Reutskamerdijk 2 6035PS Ospel"	"Nederweert"	"5"	"Ja"	"1.407,00"	"22.110,00"	"1.017.060,00"	"183079"	"369474"	"183238"	"369414"	"2017-12-12"	"Melding:Activiteitenbesluit"
"ODNML"	"6035PT13"	"Vleeskuikens"	"Nee"	"Schepengraaf 13 6035PT Ospel"	"Nederweert"	"4"	"Ja"	"2.719,85"	"26.221,30"	"1.008.505,00"	"183628"	"369410"	"183564"	"369402"	"2024-07-15"	"Ambtshalve wijziging"
"ODNML"	"6035PT25C"	"Leghennen"	"Nee"	"Schepengraaf 25C 6035PT OSPEL"	"Nederweert"	"2"	"Ja"	"5.250,00"	"20.700,00"	"2.375.900,00"	"183683"	"369992"	"183658"	"370011"	"2024-02-19"	"Ambtshalve wijziging"
"ODNML"	"6035PT33"	"Paarden"	"Nee"	"Schepengraaf 33 6035PT OSPEL"	"Nederweert"	"2"	"Nee"	"126,80"	"0,00"	"0,00"	"183916"	"370063"	"183916"	"370063"	"2011-12-31"	"Melding:Activiteitenbesluit"
"ODNML"	"6035PT37"	"voormalig bedrijf"	"Ja"	"Schepengraaf 37 6035PT Ospel"	"Nederweert"	"2"	"Nee"	"nu"	"nu"	"nu"	"184021"	"370105"	"183971"	"370163"	"2023-02-15"	"Intrekking gehele veebestand"
"ODNML"	"6035PV10"	"voormalig bedrijf"	"Ja"	"Schepengraaf 10 6035PV OSPEL"	"Nederweert"	"3"	"Nee"	"0,00"	"0,00"	"0,00"	"183906"	"369889"	"183906"	"369889"	"2007-11-14"	"Intrekking:intrekking gehele veebestand"
"ODNML"	"6035PV14"	"voormalig bedrijf"	"Ja"	"Schepengraaf 14 6035PV OSPEL"	"Nederweert"	"1"	"Nee"	"0,00"	"0,00"	"0,00"	"184026"	"369980"	"184026"	"369980"	"2019-06-19"	"Intrekking:intrekking gehele veebestand"
"ODNML"	"6035PW4"	"voormalig bedrijf"	"Ja"	"Hagelkruisbaan 4 6035PW OSPEL"	"Nederweert"	"1"	"Nee"	"0,00"	"0,00"	"0,00"	"183160"	"368792"	"183160"	"368792"	"2016-08-24"	"Intrekking:intrekking gehele veebestand"
"ODNML"	"6035PW5"	"voormalig bedrijf"	"Ja"	"Hagelkruisbaan 5 6035PW OSPEL"	"Nederweert"	"2"	"Nee"	"0,00"	"0,00"	"0,00"	"183027"	"368708"	"183027"	"368708"	"2016-08-22"	"Intrekking:intrekking gehele veebestand"
"ODNML"	"6035PW6C"	"Leghennen"	"Nee"	"Hagelkruisbaan 6C 6035PW Ospel"	"Nederweert"	"3"	"Nee"	"4.040,32"	"4.343,50"	"1.073.100,00"	"183187"	"369159"	"183232"	"369167"	"1997-02-27"	"Vergunning:Beschikkking WM revisievergunning"
