provincie,instellingsnaam,straatnaam,huisnummer-toevoeging,postcode,plaatsnaam,gemeentenummer,gemeentenaam,telefoonnummer,onderwijstype,latitude,longitude
Drenthe,Kc Baggelhuizen,Witterhoofdweg,1-B,9405 Hx,Assen,0106,Assen,0592820530,Basisonderwijs,52.98719291,6.52925329
Drenthe,Openbare Basisschool De Driemaster,Amstelstraat,14-A,9406 Th,Assen,0106,Assen,0592820530,Basisonderwijs,53.00878495,6.54299632
Drenthe,Emmaschool,Prinses Irenestraat,6,9401 Hh,Assen,0106,Assen,0592820640,Basisonderwijs,52.99220177,6.55566641
Drenthe,Basisschool Valkenhorst,Bremstraat,14,9404 Gd,Assen,0106,Assen,0592820630,Basisonderwijs,52.98868132,6.5787447
Drenthe,O.B.S.Theo Thijssen,Sluisstraat,139,9406 Ax,Assen,0106,Assen,0592820620,Basisonderwijs,52.99573082,6.55135215
Drenthe,Basisschool De Vuurvogel,Obrechtlaan,1-3,9402 Tb,Assen,0106,Assen,0592820610,Basisonderwijs,53.00790981,6.56037936
Drenthe,De Veldkei,Veenwalweg,5-7,9407 Am,Assen,0106,Assen,0592820520,Basisonderwijs,53.01743629,6.55759618
Drenthe,Basisschool De Marskramer,Kleuvenstee,1,9403 Lt,Assen,0106,Assen,0592820580,Basisonderwijs,53.01865033,6.58654107
Drenthe,Openbare Basisschool Heksenketel,Tarwehullen,1,9403 Wd,Assen,0106,Assen,0592820590,Basisonderwijs,53.01952409,6.59081267
Drenthe,Het Sterrenschip,Schoolstraat,31,9408 Mb,Assen,0106,Assen,0592820550,Basisonderwijs,53.00107019,6.51400905
Drenthe,Openbare Basisschool Kloosterveen,De Boomgaard,5,9408 Ja,Assen,0106,Assen,0592820560,Basisonderwijs,53.00466128,6.50644924
Drenthe,Openbare Basisschool 'T Eenspan,Oosterstraat,58,7822 Hg,Emmen,0114,Emmen,0591659840,Basisonderwijs,52.78388464,6.90634644
Drenthe,Openbare Basisschool 2 Emmen Mr Vegter,Bargermeerweg,113,7811 Ld,Emmen,0114,Emmen,0591659842,Basisonderwijs,52.77634634,6.8976515
Drenthe,Openbare Basisschool De Esdoorn,Buiskoolstraat,1,7814 Rc,Emmen,0114,Emmen,0591659848,Basisonderwijs,52.81790847,6.91727483
Drenthe,Openbare Basisschool Emmermeer,Middenhaag,4,7815 Lb,Emmen,0114,Emmen,0591659896,Basisonderwijs,52.79832723,6.89725325
Drenthe,Openbare Basisschool Angelslo,Smedingeslag,1,7824 Hk,Emmen,0114,Emmen,0591625269,Basisonderwijs,52.78136133,6.93224371
Drenthe,De Kubus,Houtweg,403,7823 Ps,Emmen,0114,Emmen,0591622100,Basisonderwijs,52.79266362,6.94127625
Drenthe,Openbare Basisschool Op 'T Veld,Barnar,5-A,7826 Ep,Emmen,0114,Emmen,0591629364,Basisonderwijs,52.77179765,6.96019867
Drenthe,Openbare Basisschool De Hesselanden,Wilhelmsweg,85-A,7814 Vg,Emmen,0114,Emmen,0591673062,Basisonderwijs,52.74786018,6.87053977
Drenthe,Openbare Basisschool Bargeres,Mantingerbrink,203,7812 Md,Emmen,0114,Emmen,0591659850,Basisonderwijs,52.76659391,6.88802551
Drenthe,De Bente Openbare Basisschool,Westerdiep Oz,96,7881 Hg,Emmer-Compascuum,0114,Emmen,0591353320,Basisonderwijs,52.79924377,7.04274801
Drenthe,Openbare Basisschool De Mende,Wikkel,5,7881 Ba,Emmer-Compascuum,0114,Emmen,0591351446,Basisonderwijs,52.81374717,7.04745314
Drenthe,Openbare Basisschool De Dreef,Kanaal A Nz,102,7881 Kl,Emmer-Compascuum,0114,Emmen,0591352653,Basisonderwijs,52.80533828,6.98744842
Drenthe,Openbare Basisschool Erica De Anbrenge,Semsstraat,2,7887 Ad,Erica,0114,Emmen,0591301824,Basisonderwijs,52.71169908,6.92396002
Drenthe,Obs Klazienaveen,Van Echtenstraat,26,7891 Lm,Klazienaveen,0114,Emmen,0591240000,Basisonderwijs,52.72274853,6.98643494
Drenthe,Openbare Basischool De Bascule,Sportlaan,85,7833 Ch,Nieuw-Amsterdam,0114,Emmen,0591552042,Basisonderwijs,52.71095797,6.86105108
Drenthe,Openbare Basisschool Dordse Til,Walevest,10,7885 Ak,Nieuw-Dordrecht,0114,Emmen,0591390175,Basisonderwijs,52.74992868,6.96390691
