"Bronhouder"	"VTHobject ID"	"Bedrijfstype"	"Beëndigd"	"Adres"	"Gemeente"	"Aantal stallen"	"IPPC"	"NH3 emissie (kg/j)"	"Geur emissie (ouE/s)"	"Fijnstof emissie (g/j)"	"BAG VBO X"	"BAG VBO Y"	"Gem. emissie X"	"Gem. emissie Y"	"Besluitdatum"	"Zaaktype"
"ODZOB"	"5761PD8"	"voormalig bedrijf"	"Ja"	"Hilakker 8 5761PD BAKEL"	"Gemert-Bakel"	"1"	""	"0,00"	"0,00"	"0,00"	"179685"	"389022"	"179685"	"389022"	"2014-12-16"	"Intrekking:Intrekking gehele veestand"
"ODZOB"	"5761PE2"	"Melkrundvee"	"Nee"	"Kuundert 2 5761PE Bakel"	"Gemert-Bakel"	"1"	""	"2.736,60"	"0,00"	"30.498,00"	"179965"	"389106"	"179955"	"389138"	"2020-01-16"	"Melding:Melding activiteitenbesluit"
"ODZOB"	"5761PE4"	"Melkrundvee"	"Nee"	"Kuundert 4 5761PE Bakel"	"Gemert-Bakel"	"1"	""	"1.684,00"	"0,00"	"19.114,00"	"180041"	"388898"	"180012"	"388856"	"2000-02-18"	"Intrekking:Intrekking gedeeltelijke veestand"
"ODZOB"	"5761PE5"	"Melkrundvee"	"Nee"	"Kuundert 5 5761PE Bakel"	"Gemert-Bakel"	"1"	""	"1.212,60"	"0,00"	"10.902,00"	"180146"	"388896"	"180163"	"388912"	"2004-07-15"	"Melding:"
"ODZOB"	"5761PG1"	"Paarden"	"Nee"	"Heidveld 1 5761PG Bakel"	"Gemert-Bakel"	"1"	""	"140,50"	"0,00"	"0,00"	"179383"	"388554"	"179341"	"388543"	"2017-12-06"	"Melding:Melding activiteitenbesluit"
"ODZOB"	"5761PG2"	"voormalig bedrijf"	"Ja"	"Heidveld 2 5761PG BAKEL"	"Gemert-Bakel"	"1"	""	"0,00"	"0,00"	"0,00"	"179491"	"388882"	"179491"	"388882"	"2017-05-18"	"Intrekking:Intrekking gehele veestand"
"ODZOB"	"5761PG4"	"voormalig bedrijf"	"Ja"	"Heidveld 4 5761PG Bakel"	"Gemert-Bakel"	"7"	"Nee"	"0,00"	"0,00"	"0,00"	"179377"	"388682"	"179339"	"388705"	"2021-06-18"	"Intrekking:Intrekking gehele veestand"
"ODZOB"	"5761PG6"	"Melkrundvee"	"Nee"	"Heidveld 6 5761PG Bakel"	"Gemert-Bakel"	"1"	""	"325,20"	"345,00"	"6.435,00"	"179262"	"388605"	"179265"	"388627"	"2017-04-26"	"Melding:Melding activiteitenbesluit"
"ODZOB"	"5761PG8"	"Zeugen"	"Nee"	"Heidveld 8 5761PG Bakel"	"Gemert-Bakel"	"4"	"Ja"	"2.145,88"	"20.469,83"	"139.672,00"	"179042"	"388722"	"179087"	"388758"	"2015-10-07"	"Vergunning:Omgevingsvergunning Milieuneutraal"
"ODZOB"	"5761PH1"	"Melkrundvee"	"Nee"	"Schouw 1 5761PH Bakel"	"Gemert-Bakel"	"1"	""	"176,00"	"0,00"	"1.520,00"	"178954"	"388733"	"178931"	"388700"	"2022-06-27"	"Melding activiteitenbesluit"
