"Bronhouder"	"VTHobject ID"	"Stal ID"	"Omschrijving"	"Beëndigd"	"Adres"	"Gemeente"	"EmissieX"	"EmissieY"	"NH3 emissie (kg/j)"	"Geur emissie (ouE/s)"	"Fijnstof emissie (g/j)"	"Zaaknummer"	"Besluitdatum"	"Zaaktype"
"OMWB"	"5087BE22"	"5087BE22_4082_5"	"bedrijf"	"Nee"	"Hoekje 22 5087BE Diessen"	"Hilvarenbeek"	"140156"	"388843"	"1.701,20"	"0,00"	"18.908,00"	"5087BE22_4082"	"2020-06-16"	"Melding:Intrekking gedeeltelijke veestand"
"OMWB"	"5087BE9"	"5087BE9_4077"	"bedrijf"	"Nee"	"Hoekje 9 5087BE Diessen"	"Hilvarenbeek"	"139991"	"388633"	"1.720,50"	"18.056,00"	"18.105,00"	"5087BE9_4077"	"2008-05-27"	"Vergunning:Revisievergunning"
"OMWB"	"5087BG16"	"5087BG16_4083"	"bedrijf"	"Nee"	"Laarstraat 16 5087BG Diessen"	"Hilvarenbeek"	"140592"	"387996"	"5,50"	"18,70"	"180,00"	"5087BG16_4083"	"2011-10-18"	"Correctie:Besluit Landbouw milieubeheer"
"OMWB"	"5087BG18"	"5087BG18_4084"	"Stal 1"	"Nee"	"Laarstraat 18 5087BG Diessen"	"Hilvarenbeek"	"140548"	"388051"	"211,20"	"0,00"	"1.824,00"	"5087BG18_Z2024-00016027"	"2024-06-19"	"Melding Besluit Activiteit Leefomgeving"
"OMWB"	"5087BG18"	"5087BG18_Z2024-00016027_1"	"Stal 4"	"Nee"	"Laarstraat 18 5087BG Diessen"	"Hilvarenbeek"	"140564"	"388053"	"380,00"	"0,00"	"7.940,00"	"5087BG18_Z2024-00016027"	"2024-06-19"	"Melding Besluit Activiteit Leefomgeving"
"OMWB"	"5087BG18"	"5087BG18_Z2024-00016027_2"	"Stal 2"	"Nee"	"Laarstraat 18 5087BG Diessen"	"Hilvarenbeek"	"140563"	"388073"	"469,00"	"0,00"	"9.916,00"	"5087BG18_Z2024-00016027"	"2024-06-19"	"Melding Besluit Activiteit Leefomgeving"
"OMWB"	"5087BG18"	"5087BG18_Z2024-00016027_3"	"Stal 3"	"Nee"	"Laarstraat 18 5087BG Diessen"	"Hilvarenbeek"	"140582"	"388080"	"203,00"	"0,00"	"4.292,00"	"5087BG18_Z2024-00016027"	"2024-06-19"	"Melding Besluit Activiteit Leefomgeving"
"OMWB"	"5087BG18"	"5087BG18_Z2024-00016027_4"	"Iglo's"	"Nee"	"Laarstraat 18 5087BG Diessen"	"Hilvarenbeek"			"52,80"	"0,00"	"456,00"	"5087BG18_Z2024-00016027"	"2024-06-19"	"Melding Besluit Activiteit Leefomgeving"
"OMWB"	"5087KE10"	"5087KE10_4093"	"bedrijf"	"Nee"	"Waterstraat 10 5087KE Diessen"	"Hilvarenbeek"	"139272"	"387713"	"1.343,30"	"1.352,80"	"16.960,00"	"5087KE10_4093"	"2014-03-04"	"Melding:Melding activiteitenbesluit"
"OMWB"	"5087KE14A"	"5087KE14A_11786"	"bedrijf"	"Nee"	"Waterstraat 14A 5087KE Diessen"	"Hilvarenbeek"	"139340"	"387284"	"38,50"	"224,25"	"6.300,00"	"5087KE14A_11786"	"2004-07-27"	"Vergunning:Revisievergunning"
"OMWB"	"5087KE16"	"5087KE16_4095"	"bedrijf"	"Nee"	"Waterstraat 16 5087KE Diessen"	"Hilvarenbeek"	"139312"	"387205"	"101,80"	"195,00"	"0,00"	"5087KE16_4095"	"2017-07-04"	"Melding:Melding activiteitenbesluit"
"OMWB"	"5087KE2"	"5087KE2_4090"	"bedrijf"	"Nee"	"Waterstraat 2 5087KE Diessen"	"Hilvarenbeek"	"139183"	"388008"	"1.069,60"	"0,00"	"11.524,00"	"5087KE2_4090"	"2011-10-18"	"Intrekking:Intrekking gedeeltelijke veestand"
"OMWB"	"5087KE21"	"5087KE21_4096"	"bedrijf"	"Nee"	"Waterstraat 21 5087KE Diessen"	"Hilvarenbeek"	"139731"	"386579"	"202,60"	"0,00"	"706,00"	"5087KE21_4096"	"2014-02-17"	"Melding:Melding activiteitenbesluit"
"OMWB"	"5087KE7"	"5087KE7_4092"	"bedrijf"	"Nee"	"Waterstraat 7 5087KE Diessen"	"Hilvarenbeek"	"139347"	"387728"	"486,80"	"4.414,40"	"4.548,00"	"5087KE7_4092"	"2021-01-23"	"Melding:Melding activiteitenbesluit"
"OMWB"	"5087KG11"	"5087KG11_4101"	"bedrijf"	"Nee"	"Westerwijk 11 5087KG Diessen"	"Hilvarenbeek"	"139414"	"386602"	"1.525,70"	"1.317,20"	"18.745,00"	"5087KG11_4101"	"1997-04-29"	"Correctie:Intrekking gedeeltelijke veestand"
"OMWB"	"5087KG11A"	"5087KG11A_4102"	"bedrijf"	"Nee"	"Westerwijk 11A 5087KG Diessen"	"Hilvarenbeek"	"139278"	"386467"	"2.376,00"	"56.672,00"	"145.648,00"	"5087KG11A_4102"	"2016-02-02"	"Vergunning:Omgevingsvergunning-verandering"
