"Bronhouder"	"VTHobject ID"	"Stal ID"	"Omschrijving"	"Beëndigd"	"Adres"	"Gemeente"	"EmissieX"	"EmissieY"	"NH3 emissie (kg/j)"	"Geur emissie (ouE/s)"	"Fijnstof emissie (g/j)"	"Zaaknummer"	"Besluitdatum"	"Zaaktype"
"Horst aan de Maas"	"5864CS28"	"5864CS28_9958"	"E"	"Nee"	"Mgr Jenneskensstraat 28 5864CS Meerlo"	"Horst aan de Maas"	"204309"	"391554"	"0,00"	"0,00"	"0,00"	"5864CS28_9958"	"2021-03-04"	"Intrekking:Omgevingsverg. gedeeltelijke intrekking"
"Horst aan de Maas"	"5864CS28"	"5864CS28_9959"	"F"	"Nee"	"Mgr Jenneskensstraat 28 5864CS Meerlo"	"Horst aan de Maas"	"204303"	"391484"	"0,00"	"0,00"	"0,00"	"5864CS28_9959"	"2021-03-04"	"Intrekking:Omgevingsverg. gedeeltelijke intrekking"
"Horst aan de Maas"	"5864CS28"	"5864CS28_9960"	"G"	"Nee"	"Mgr Jenneskensstraat 28 5864CS Meerlo"	"Horst aan de Maas"	"204396"	"391559"	"35,00"	"390,00"	"0,00"	"5864CS28_9960"	"2021-03-04"	"Intrekking:Omgevingsverg. gedeeltelijke intrekking"
"Horst aan de Maas"	"5864CT9"	"5864CT9_10903"	"A"	"Nee"	"Megelsum 9 5864CT Meerlo"	"Horst aan de Maas"	"204860"	"391879"	"1.178,75"	"3.206,20"	"792.120,00"	"5864CT9_10903"	"2008-08-12"	"Vergunning:"
"Horst aan de Maas"	"5864CT9"	"5864CT9_10904"	"B"	"Nee"	"Megelsum 9 5864CT Meerlo"	"Horst aan de Maas"	"204842"	"391912"	"1.612,50"	"4.386,00"	"1.083.600,00"	"5864CT9_10904"	"2008-08-12"	"Vergunning:"
"Horst aan de Maas"	"5864CT9"	"5864CT9_10905"	"C "	"Nee"	"Megelsum 9 5864CT Meerlo"	"Horst aan de Maas"	"204845"	"391943"	"180,88"	"877,80"	"58.520,00"	"5864CT9_10905"	"2008-08-12"	"Vergunning:"
"Horst aan de Maas"	"5864CT9"	"5864CT9_10906"	"D"	"Nee"	"Megelsum 9 5864CT Meerlo"	"Horst aan de Maas"	"204843"	"391992"	"275,40"	"1.336,50"	"89.100,00"	"5864CT9_10906"	"2008-08-12"	"Vergunning:"
"Horst aan de Maas"	"5864CT9"	"5864CT9_10907"	"E"	"Nee"	"Megelsum 9 5864CT Meerlo"	"Horst aan de Maas"	"204836"	"392028"	"464,44"	"2.253,90"	"150.260,00"	"5864CT9_10907"	"2008-08-12"	"Vergunning:"
"Horst aan de Maas"	"5864CT9"	"5864CT9_10908"	"F"	"Nee"	"Megelsum 9 5864CT Meerlo"	"Horst aan de Maas"	"204748"	"392006"	"558,00"	"5.940,00"	"396.000,00"	"5864CT9_10908"	"2008-08-12"	"Vergunning:"
"Horst aan de Maas"	"5864CT9"	"5864CT9_10909"	"G "	"Nee"	"Megelsum 9 5864CT Meerlo"	"Horst aan de Maas"	"204754"	"392006"	"558,00"	"5.940,00"	"396.000,00"	"5864CT9_10909"	"2008-08-12"	"Vergunning:"
"Horst aan de Maas"	"5864CV12A"	"5864CV12A_10016"	"bedrijf"	"Nee"	"Megelsum 12A 5864CV MEERLO"	"Horst aan de Maas"	"204737"	"391799"	"25,00"	"0,00"	"0,00"	"5864CV12A_10016"	"1993-12-16"	"Melding:"
"Horst aan de Maas"	"5864CV12A"	"5864CV12A_10017"	"1"	"Nee"	"Megelsum 12A 5864CV MEERLO"	"Horst aan de Maas"	"204691"	"391787"	"1.232,40"	"0,00"	"11.136,00"	"5864CV12A_10017"	"1993-12-16"	"Melding:"
"Horst aan de Maas"	"5864CW1"	"5864CW1_9504"	"1"	"Nee"	"Kortenbos 1A 5864CW Meerlo"	"Horst aan de Maas"	"204968"	"392009"	"171,50"	"0,00"	"0,00"	"5864CW1_9504"	"2007-11-13"	"Vergunning:"
"Horst aan de Maas"	"5864DA4"	"5864DA4_12609"	"bedrijf"	"Nee"	"Keuterseweg 4 5864DA Meerlo"	"Horst aan de Maas"	"204865"	"390934"	"262,30"	"78,00"	"5.160,00"	"5864DA4_12609"	"2007-05-01"	"Melding:Activiteitenbesluit"
"Horst aan de Maas"	"5864DC12"	"5864DC12_2017_1"	"Stal A (links)"	"Nee"	"Holstraat 12 5864DC Meerlo"	"Horst aan de Maas"	"202672"	"392498"	"1.728,00"	"30.912,00"	"190.080,00"	"5864DC12_2017"	"2017-11-23"	"Omgevingsvergunning-verandering"
"Horst aan de Maas"	"5864DC12"	"5864DC12_2017_2"	"stal A (rechts)"	"Nee"	"Holstraat 12 5864DC Meerlo"	"Horst aan de Maas"	"202693"	"392494"	"1.728,00"	"30.912,00"	"190.080,00"	"5864DC12_2017"	"2017-11-23"	"Omgevingsvergunning-verandering"
"Horst aan de Maas"	"5864DC12"	"5864DC12_2017_3"	"Stal B"	"Nee"	"Holstraat 12 5864DC Meerlo"	"Horst aan de Maas"	"202727"	"392498"	"7,00"	"78,00"	"0,00"	"5864DC12_2017"	"2017-11-23"	"Omgevingsvergunning-verandering"
"Horst aan de Maas"	"5864EA16"	"5864EA16_11279"	"bedrijf"	"Nee"	"Bergsboslaan 16 5864EA Meerlo"	"Horst aan de Maas"	"203858"	"392637"	"2.295,16"	"3.623,94"	"463.059,00"	"5864EA16_11279"	"2017-04-13"	"Vergunning:Omgevingsvergunning revisie"
"Horst aan de Maas"	"5864EA16"	"5864EA16_11280"	"4"	"Nee"	"Bergsboslaan 16 5864EA Meerlo"	"Horst aan de Maas"	"203833"	"392594"	"118,00"	"312,00"	"0,00"	"5864EA16_11280"	"2017-04-13"	"Vergunning:Omgevingsvergunning revisie"
"Horst aan de Maas"	"5864EA16"	"5864EA16_11281"	"9"	"Nee"	"Bergsboslaan 16 5864EA Meerlo"	"Horst aan de Maas"	"203697"	"392695"	"987,24"	"1.558,80"	"199.180,00"	"5864EA16_11281"	"2017-04-13"	"Vergunning:Omgevingsvergunning revisie"
"Horst aan de Maas"	"5864EA16"	"5864EA16_11282"	"10test"	"Nee"	"Bergsboslaan 16 5864EA Meerlo"	"Horst aan de Maas"	"203689"	"392676"	"987,24"	"1.558,80"	"199.180,00"	"5864EA16_11282"	"2017-04-13"	"Vergunning:Omgevingsvergunning revisie"
"Horst aan de Maas"	"5864EA16"	"5864EA16_11283"	"11"	"Nee"	"Bergsboslaan 16 5864EA Meerlo"	"Horst aan de Maas"	"203624"	"392726"	"987,24"	"1.558,80"	"199.180,00"	"5864EA16_11283"	"2017-04-13"	"Vergunning:Omgevingsvergunning revisie"
"Horst aan de Maas"	"5864EA16"	"5864EA16_11284"	"12"	"Nee"	"Bergsboslaan 16 5864EA Meerlo"	"Horst aan de Maas"	"203616"	"392706"	"987,24"	"1.558,80"	"199.180,00"	"5864EA16_11284"	"2017-04-13"	"Vergunning:Omgevingsvergunning revisie"
"Horst aan de Maas"	"5864EA16"	"5864EA16_11285"	"13"	"Nee"	"Bergsboslaan 16 5864EA Meerlo"	"Horst aan de Maas"	"203591"	"392666"	"2.320,13"	"3.663,36"	"468.096,00"	"5864EA16_11285"	"2017-04-13"	"Vergunning:Omgevingsvergunning revisie"
"Horst aan de Maas"	"5865AD2"	"5865AD2_10910"	"3"	"Nee"	"Over de beek 2 5865AD Tienray"	"Horst aan de Maas"	"203232"	"389862"	"1.144,50"	"10.791,00"	"719.400,00"	"5865AD2_10910"	"2010-06-01"	"Vergunning:"
"Horst aan de Maas"	"5865AD2"	"5865AD2_10911"	"4"	"Nee"	"Over de beek 2 5865AD Tienray"	"Horst aan de Maas"	"203234"	"389850"	"1.702,40"	"14.784,00"	"985.600,00"	"5865AD2_10911"	"2010-06-01"	"Vergunning:"
"Horst aan de Maas"	"5865AD2"	"5865AD2_10912"	"5"	"Nee"	"Over de beek 2 5865AD Tienray"	"Horst aan de Maas"	"203249"	"389817"	"1.428,80"	"12.408,00"	"827.200,00"	"5865AD2_10912"	"2010-06-01"	"Vergunning:"
"Horst aan de Maas"	"5865AD2"	"5865AD2_9527"	"1"	"Nee"	"Over de beek 2 5865AD Tienray"	"Horst aan de Maas"	"203268"	"389979"	"1.557,50"	"14.685,00"	"979.000,00"	"5865AD2_9527"	"2010-06-01"	"Vergunning:"
"Horst aan de Maas"	"5865AD2"	"5865AD2_9528"	"2"	"Nee"	"Over de beek 2 5865AD Tienray"	"Horst aan de Maas"	"203261"	"389956"	"1.302,00"	"12.276,00"	"818.400,00"	"5865AD2_9528"	"2010-06-01"	"Vergunning:"
"Horst aan de Maas"	"5865AG73"	"5865AG73_9995"	"1"	"Nee"	"Spoorstraat 73 5865AG TIENRAY"	"Horst aan de Maas"	"203514"	"389182"	"1.800,00"	"9.200,00"	"61.200,00"	"5865AG73_9995"	"1996-12-02"	"Vergunning:"
"Horst aan de Maas"	"5865AG73"	"5865AG73_9996"	"2"	"Nee"	"Spoorstraat 73 5865AG TIENRAY"	"Horst aan de Maas"	"203534"	"389166"	"936,00"	"7.176,00"	"47.736,00"	"5865AG73_9996"	"1996-12-02"	"Vergunning:"
"Horst aan de Maas"	"5865AL4"	"5865AL4_11639"	"2"	"Nee"	"Mackayweg 4 5865AL Tienray"	"Horst aan de Maas"	"203530"	"388783"	"1.260,00"	"10.200,00"	"1.950.000,00"	"5865AL4_11639"	"2015-05-13"	"Vergunning:"
