provincie,instellingsnaam,straatnaam,huisnummer-toevoeging,postcode,plaatsnaam,gemeentenummer,gemeentenaam,telefoonnummer,school_type,latitude,longitude
Gelderland,Basisschool Boaz-Jachin,Ds. Kalshovenweg,15,8075 AE,ELSPEET,0302,NUNSPEET,0577491310,primary,52.29242041,5.78449901
Gelderland,Reformatorische Basisschool Eben Haezer,Molenstraat,98,6721 WP,BENNEKOM,0228,EDE,0318430660,primary,52.00148923,5.66536093
Gelderland,Christelijke Basisschool,Kerkstraat,33,5313 AP,NIEUWAAL,0297,ZALTBOMMEL,0418561614,primary,51.80964173,5.17739511
Gelderland,RK BS De Geldershof,Laauwikstraat,11,6663 CD,LENT,0268,NIJMEGEN,0243233510,primary,51.86393745,5.86523484
Gelderland,Protestants Christelijke Basisschool Prins Bernhard,Wiekslag,25,3853 BG,ERMELO,0233,ERMELO,0341551624,primary,52.29731337,5.60392727
Gelderland,PC Basissch Kon Juliana,Spechtstraat,49,3853 VA,ERMELO,0233,ERMELO,0341552284,primary,52.29240783,5.60296523
Gelderland,Protestants Christelijke Basisschool De Klokbeker,De la Reystraat,134,3851 BL,ERMELO,0233,ERMELO,0341556378,primary,52.28885081,5.61147807
Gelderland,Protestants Christelijke Basisschool Margriet,Hamburgerweg,141,3851 EJ,ERMELO,0233,ERMELO,0341557900,primary,52.29532652,5.61710375
Gelderland,Protestants Christelijke Basisschool Beatrix,Smidsweg,49,3852 XA,ERMELO,0233,ERMELO,0341554186,primary,52.29748085,5.63314427
Gelderland,Basisschool Bastion,Pater Jan de Vriesstraat,17,7126 BL,BREDEVOORT,0197,AALTEN,0543451529,primary,51.94309638,6.62081062
Gelderland,De Trompetter,Prinses Margrietlaan,8,6986 AT,ANGERLO,0299,ZEVENAAR,0313473067,primary,51.9969021,6.13464282
Gelderland,IKC De Tragellijn,Graaf Ottoweg,91,6915 VT,LOBITH,0299,ZEVENAAR,0316541390,primary,51.85900528,6.11155781
Gelderland,IKC Franciscus,Babborgaplein,3-B,6909 DW,BABBERICH,0299,ZEVENAAR,0316247226,primary,51.90597215,6.11792457
Gelderland,Basisschool Sprankel,Carvium,1,6914 AP,HERWEN,0299,ZEVENAAR,0316247480,primary,51.88578451,6.10121514
Gelderland,IKC het Ravelijn,De Steenderens,1,6932 CA,WESTERVOORT,0293,WESTERVOORT,0263120875,primary,51.95078413,5.97925896
Gelderland,IKC St. Martinus,Martinusweg,6,6905 AR,ZEVENAAR,0299,ZEVENAAR,0316523185,primary,51.91540532,6.08230092
