PROVINCIE,INSTELLINGSNAAM,STRAATNAAM,HUISNUMMER-TOEVOEGING,POSTCODE,PLAATSNAAM,GEMEENTENUMMER,GEMEENTENAAM,TELEFOONNUMMER,school_type
Drenthe,BBS de Verwondering,Melkweg,13,9306 TC,ALTEVEER GEM NOORDENVELD,1699,NOORDENVELD, ,primary
Drenthe,Kindcentrum De Wegwijzer,Harm Tiesingstraat,74,9571 AZ,2E EXLOERMOND,1681,BORGER-ODOORN,0599671206,primary
Drenthe,Christelijk Kindcentrum De Borgh,Molenstraat,3-A,9531 CH,BORGER,1681,BORGER-ODOORN,0599234254,primary
Drenthe,Kindcentrum Drijber,Nijenkamp,29,9419 TM,DRIJBER,1731,MIDDEN-DRENTHE,0593562543,primary
Drenthe,Christelijk Kindcentrum Menso Altingschool,Brinkhovenlaan,3-B,9765 BH,PATERSWOLDE,1730,TYNAARLO,0503093854,primary
Drenthe,Dalton Kindcentrum ’t Kompas,Ceresstraat,6,9514 CA,GASSELTERNIJVEEN,1680,AA EN HUNZE,0599512734,primary
Drenthe,Kindcentrum De Klister,Noorderdiep,123,9521 BC,NIEUW-BUINEN,1681,BORGER-ODOORN,0599613864,primary
Drenthe,Dalton Kindcentrum De Vaart,Prof. Dr. Obbinkstraat,3-B,9423 PR,HOOGERSMILDE,1731,MIDDEN-DRENTHE,0592459055,primary
Drenthe,Kindcentrum SPEEL en LEER,Kerklaan,3,9341 AV,VEENHUIZEN,1699,NOORDENVELD,0592388355,primary
Drenthe,Kindcentrum Het Octaaf,Witterhoofdweg,1-C,9405 HX,ASSEN,0106,ASSEN,0592351506,primary
Drenthe,Dalton Kindcentrum De Wingerd,Floralaan,1-A,9421 NP,BOVENSMILDE,1731,MIDDEN-DRENTHE,0592412991,primary
Drenthe,Kindcentrum De Marke,De Weegbree,21,9461 KM,GIETEN,1680,AA EN HUNZE,0592263113,primary
Drenthe,Kindcentrum De Wegwijzer,Homaat,2,9431 MK,WESTERBORK,1731,MIDDEN-DRENTHE,0593331305,primary
Drenthe,Kindcentrum De Holtenhoek,Holtenweg,5,9481 CN,VRIES,1730,TYNAARLO,0592541644,primary
Drenthe,Kindcentrum De Schutkampen,Prins Hendrikstraat,2,9422 GJ,SMILDE,1731,MIDDEN-DRENTHE,0592414010,primary
Drenthe,Kindcentrum De Regenboog,Tuinstraat,5-B,9404 KK,ASSEN,0106,ASSEN,0592316723,primary
Drenthe,Kindcentrum Beatrix,Sportlaan,10,9411 BG,BEILEN,1731,MIDDEN-DRENTHE,0593522718,primary
Drenthe,Christelijk Kindcentrum Het Stroomdal,Esdoornlaan,1,9471 SH,ZUIDLAREN,1730,TYNAARLO,0504093170,primary
Drenthe,Christelijk Dalton Kindcentrum De Eshorst,Esweg,106,9411 AK,BEILEN,1731,MIDDEN-DRENTHE,0593523159,primary
Drenthe,Dalton Kindcentrum Jonglaren,Ludinge,6,9471 JD,ZUIDLAREN,1730,TYNAARLO,0504092079,primary
Drenthe,Kindcentrum De Lichtbaak,Amstelstraat,14-B,9406 TH,ASSEN,0106,ASSEN,0592354150,primary
Drenthe,Christelijk Kindcentrum Het Kompas,Einthovenstraat,26,9402 CB,ASSEN,0106,ASSEN,0592354234,primary
Drenthe,Kindcentrum De Scharmhof,Scharmbarg,1,9407 EA,ASSEN,0106,ASSEN,0592343800,primary
Drenthe,Christelijk Kindcentrum Rehoboth,Rooilaan,154,7876 GW,VALTHERMOND,1681,BORGER-ODOORN,0599662367,primary
Drenthe,Kindcentrum De Borg,Dusselheugte,13,9403 GN,ASSEN,0106,ASSEN,0592370203,primary
Drenthe,Kindcentrum De Tol,De Hilde,1,9472 WH,ZUIDLAREN,1730,TYNAARLO,0504091804,primary
Drenthe,Kindcentrum Het Krijt,Schoolstraat,29,9408 MB,ASSEN,0106,ASSEN,0592460370,primary
Drenthe,Kindcentrum De Kloostertuin,Aletta Jacobsweg,80,9408 AM,ASSEN,0106,ASSEN,0592350303,primary
Drenthe,CKC De Rietzanger,Borchsingel,39,9766 PP,EELDERWOLDE,1730,TYNAARLO,0502053399,primary
Drenthe,Het Mozaiek,De Stok,4,7913 RE,HOLLANDSCHEVELD,0118,HOOGEVEEN,0528343291,primary
Drenthe,Sint Theresiaschool,Kerkweg,4,7741 PJ,COEVORDEN,0109,COEVORDEN,0524514782,primary
Drenthe,Sint Willibrordus,Thorbeckestraat,1,7742 AJ,COEVORDEN,0109,COEVORDEN,0524513531,primary
Drenthe,K B S De Plataan,Vledderstraat,3-E,7941 LC,MEPPEL,0119,MEPPEL,0522251025,primary
Drenthe,R.K. Basisschool Titus Brandsma,Herman Bavinckstraat,1,7901 BS,HOOGEVEEN,0118,HOOGEVEEN,0528264115,primary
Drenthe,St Franciscussch,Zuidersloot,61,7765 AG,WEITEVEEN,0114,EMMEN,0524541495,primary
Drenthe,Sint Gerardus Majella School,Europaweg,149,7766 AE,NIEUW-SCHOONEBEEK,0114,EMMEN,0524541403,primary
Drenthe,Rooms Katholieke Basisschool Panta Rhei,Jan van Scorelstraat,9,7741 XM,COEVORDEN,0109,COEVORDEN,0524513467,primary
Drenthe,Montessorischool Het Element,De Karn,5,7908 NX,HOOGEVEEN,0118,HOOGEVEEN,0528220300,primary
Drenthe,Christelijke Basisschool De Fontein,Westrupstraat,10,7841 AZ,SLEEN,0109,COEVORDEN,0591361910,primary
Drenthe,Protestants Christelijk Basisschool De Wegwijzer,Schoolweg,2,7917 PX,GEESBRUG,0109,COEVORDEN,0524291600,primary
Drenthe,Christelijke Basisschool de Schutse,Paardelandsdrift,9,7854 PR,AALDEN,0109,COEVORDEN,0591371898,primary
Drenthe,Christelijke Basisschool De Slagkrooie,Ringstraat,22,7848 BW,SCHOONOORD,0109,COEVORDEN,0591382412,primary
Drenthe,Willem Alexanderschool,Oranjestraat,2,7753 TK,DALERPEEL,0109,COEVORDEN,0524571956,primary
Drenthe,Mijndert van der Thynenschool,Jan van Scorelstraat,11,7741 XM,COEVORDEN,0109,COEVORDEN,0524513283,primary
Drenthe,Paul Krugerschool,Van Heutszsingel,9,7741 ER,COEVORDEN,0109,COEVORDEN,0524516182,primary
Drenthe,Dr. Picardtschool,Van Pallandtlaan,7,7742 WJ,COEVORDEN,0109,COEVORDEN,0524512148,primary
Drenthe,Christelijke Basisschool De Wel,Burg. Haitsmalaan,7,7948 AE,NIJEVEEN,0119,MEPPEL,0522490461,primary
Drenthe,Christelijke Basisschool De Fontein,Heuvelenweg,22-B,7991 CL,DWINGELOO,1701,WESTERVELD,0521593196,primary
Drenthe,Protestants Christelijke Basisschool Nijensleek,Hoofdweg,136,8383 EK,NIJENSLEEK,1701,WESTERVELD,0521381885,primary
Drenthe,CBS De Akker,Hoogeveenseweg,28,7933 PG,PESSE,0118,HOOGEVEEN,0528262566,primary
Drenthe,Protestants Christelijke Basisschool De Arendsvleugel,Bleekhof,2,7961 AW,RUINERWOLD,1690,DE WOLDEN,0522481344,primary
Drenthe,Basisschool Roosjen,Hoofdstraat,23,7981 AC,DIEVER,1701,WESTERVELD,0521591513,primary
Drenthe,Protestants Christelijke School Het Kompas,Zuiderlaan,197-C,7944 EE,MEPPEL,0119,MEPPEL,0522799199,primary
Drenthe,Prins Johan Frisoschool voor Christelijk Basisonderwijs,Prinses Christinalaan,8,7958 SK,KOEKANGE,1690,DE WOLDEN,0522451384,primary
Drenthe,Anne Frankschool,K.P.-laan,20,7943 CV,MEPPEL,0119,MEPPEL,0522258500,primary
Drenthe,K.C. cbs De Heidevlinder,Heidelaan,1,7921 EA,ZUIDWOLDE DR,1690,DE WOLDEN,0528372772,primary
Drenthe,Koningin Beatrixschool,De Vissersingel,1,7942 EA,MEPPEL,0119,MEPPEL,0522251716,primary
Drenthe,Protestants Christelijke Basisschool de Akker,Engelgaarde,31,7943 LD,MEPPEL,0119,MEPPEL,0522251513,primary
Drenthe,P.C. Basisschool Stadskwartier,Catharinastraat,9,7941 JD,MEPPEL,0119,MEPPEL,0522251076,primary
Drenthe,KindPunt Gavelanden,De Vissersingel,1,7942 EA,MEPPEL,0119,MEPPEL,0522251716,primary
Drenthe,Christelijke Nationale Basisschool De Bron,Ganzenroer,2,7833 GH,NIEUW-AMSTERDAM,0114,EMMEN,0591551293,primary
Drenthe,'t Twiespan,Vredenveld,78,7824 CJ,EMMEN,0114,EMMEN,0591622409,primary
Drenthe,Protestants Christelijke Basisschool Willem Alexander,Verlengde Vaart NZ,37,7887 EE,ERICA,0114,EMMEN,0591301623,primary
Drenthe,Basisschool De Bentetop,Weerdingerkanaal ZZ,163,7831 AK,NIEUW-WEERDINGE,0114,EMMEN,0591521405,primary
Drenthe,cb de Zwaluw,Zandpolstraat,9,7764 AK,ZANDPOL,0114,EMMEN,0591552655,primary
Drenthe,Het Anker Protestants Christelijke Jenaplanschool,Distelvink,107,7827 DD,EMMEN,0114,EMMEN,0591630597,primary
Drenthe,Groen van Prinstererschool,Dr. H. Blinkstraat,5,7815 VH,EMMEN,0114,EMMEN,0591612464,primary
Drenthe,Christelijk Basisschool De Oliebron,Europaweg,145,7761 AC,SCHOONEBEEK,0114,EMMEN,0524531812,primary
Drenthe,Het Palet,Geuzingerbrink,70,7812 NX,EMMEN,0114,EMMEN,0591647653,primary
Drenthe,De Brug,Derksweg,264,7891 PR,KLAZIENAVEEN,0114,EMMEN,0591312021,primary
Drenthe,De Kap,Horizon,74-C,7891 CT,KLAZIENAVEEN,0114,EMMEN,0591312054,primary
Drenthe,CB Het Talent,Zandzoom,19,7814 VH,EMMEN,0114,EMMEN,0591632273,primary
Drenthe,CBS De Parel,Dreesdestraat,40,9301 GG,RODEN,1699,NOORDENVELD,0505017344,primary
Drenthe,CBS De Hoeksteen,Slangenborg,1,9301 VC,RODEN,1699,NOORDENVELD,0505018556,primary
Drenthe,Basisschool De Rank,Hagedoorn,2,7822 CC,EMMEN,0114,EMMEN,0591615518,primary
Drenthe,Kindcentrum Commissaris Gaarlandt,Rembrandtstraat,2,7948 AW,NIJEVEEN,0119,MEPPEL,0522491618,primary
Drenthe,Kindcentrum obs Sprinkels,Zuiderlaan,197-B,7944 EE,MEPPEL,0119,MEPPEL,0522799111,primary
Drenthe,Kindcentrum Het Avontuur,Woldkade,1-A,7942 AH,MEPPEL,0119,MEPPEL,0522252124,primary
Drenthe,Kindcentrum De IJsvogel,Engelgaarde,33,7943 LD,MEPPEL,0119,MEPPEL,0522260651,primary
Drenthe,Kindcentrum Noorderveld,Zuiderlaan,197-B,7944 EE,MEPPEL,0119,MEPPEL,0522729209,primary
Drenthe,De Smeltkroes,Witte Zandpad,1,7854 TW,AALDEN,0109,COEVORDEN,0591372813,primary
Drenthe,Openbare Basisschool De Anwende,Paardelandsdrift,5,7854 PR,AALDEN,0109,COEVORDEN,0591371677,primary
Drenthe,Basisschool De Akker,Oldenhoffstraat,5,7841 AJ,SLEEN,0109,COEVORDEN,0591361766,primary
Drenthe,Basisschool De Vlinderhof,Odoornerweg,8,7846 TA,NOORD-SLEEN,0109,COEVORDEN,0591361357,primary
Drenthe,Burgemeester van Royenschool,Sportparklaan,20,7848 BB,SCHOONOORD,0109,COEVORDEN,0591381262,primary
Drenthe,Burg Wessels Boerschool,Molenwijk,4,7751 CG,DALEN,0109,COEVORDEN,0524551433,primary
Drenthe,Openbare Basisschool De Zwarm,Coevorderstraatweg,6,7917 PR,GEESBRUG,0109,COEVORDEN,0524291300,primary
Drenthe,Marke-School,Middendorp,32,7754 MB,WACHTUM,0109,COEVORDEN,0524552206,primary
Drenthe,Openbare Basisschool de Wilhelminaschool,Jan van Scorelstraat,13,7741 XM,COEVORDEN,0109,COEVORDEN,0524512485,primary
Drenthe,Stidal-School,Hoofdstraat,144,7755 NN,DALERVEEN,0109,COEVORDEN,0524221261,primary
Drenthe,Openbare Basisschool Buitenvree,Van Pallandtlaan,5,7742 WJ,COEVORDEN,0109,COEVORDEN,0524512232,primary
Drenthe,Parkschool voor Openbare Basisschool,Poppenharelaan,1-3,7741 CS,COEVORDEN,0109,COEVORDEN,0524512567,primary
Drenthe,Obs De Woert,Beatrixlaan,25,7861 AG,OOSTERHESSELEN,0109,COEVORDEN,0524581778,primary
Drenthe,Kindcentrum Kornalijn,Emmastraat,43,7941 HN,MEPPEL,0119,MEPPEL,0522253644,primary
Drenthe,Het Koraal,Beukemastraat,44,7906 AN,HOOGEVEEN,0118,HOOGEVEEN,0528267382,primary
Drenthe,Basisschool Eben Haezer,Eenendertigste Wijk-N,1,7913 AA,HOLLANDSCHEVELD,0118,HOOGEVEEN,0528343536,primary
Drenthe,IKC De Meenthe,Floralaan,1-A,9421 NP,BOVENSMILDE,1731,MIDDEN-DRENTHE,0592412973,primary
Drenthe,IKC Prinses Margriet,Prinses Margrietstraat,1,9422 EL,SMILDE,1731,MIDDEN-DRENTHE,0592412302,primary
Drenthe,Openbare Basisschool Pieter van Thuyl,Prof. Dr. Obbinkstraat,3,9423 PR,HOOGERSMILDE,1731,MIDDEN-DRENTHE,0592459043,primary
Drenthe,Basisschool de Lindelaar,Homaat,2,9431 MK,WESTERBORK,1731,MIDDEN-DRENTHE,0593331998,primary
Drenthe,Openbare Basisschool De Wenteling,Schiphorsten,2,9437 TD,BALINGE,1731,MIDDEN-DRENTHE,0593552441,primary
Drenthe,IKC Meester Siebering,Haarweg,27,7938 PS,NIEUW-BALINGE,1731,MIDDEN-DRENTHE,0528321355,primary
Drenthe,IKC Harm Smeenge,Hofstraat,18,9411 LB,BEILEN,1731,MIDDEN-DRENTHE,0593522615,primary
Drenthe,IKC G.A. de Ridder,'t Spiek,2,9411 KV,BEILEN,1731,MIDDEN-DRENTHE,0593522030,primary
Drenthe,IKC 't Hieker Nust,Westeinde,6,9415 PJ,HIJKEN,1731,MIDDEN-DRENTHE,0593525136,primary
Drenthe,IKC De Bosvlinder,Bosweg,1,9414 BD,HOOGHALEN,1731,MIDDEN-DRENTHE,0593592317,primary
Drenthe,IKC Zuiderenk,Drijberseweg,2,9418 PW,WIJSTER,1731,MIDDEN-DRENTHE,0593562250,primary
Drenthe,Openbare Basisschool De Schuthoek,Julianalaan,67,9471 EB,ZUIDLAREN,1730,TYNAARLO,0504092009,primary
Drenthe,De Vijverstee,De Fledders,14,9481 GA,VRIES,1730,TYNAARLO,0592542205,primary
Drenthe,Basisschool Schuilingsoord,Hogeweg,7-C,9472 PA,ZUIDLAREN,1730,TYNAARLO,0504094148,primary
Drenthe,IKC Het Oelebred,Rozenstraat,18,9482 PP,TYNAARLO,1730,TYNAARLO,0592542023,primary
Drenthe,OBDS De Zuid-Wester,Julianalaan,78,9471 EC,ZUIDLAREN,1730,TYNAARLO,0504091658,primary
Drenthe,De Duinstee,Betmersweg,2,9494 RB,YDE,1730,TYNAARLO,0504062332,primary
Drenthe,obs De Zeijer Hoogte,Ubbenaseweg,7,9491 AA,ZEIJEN,1730,TYNAARLO,0592291476,primary
Drenthe,obs De Veenvlinder,Boomgaard,1-A,9761 TM,EELDE,1730,TYNAARLO,0503094324,primary
Drenthe,OBS Ter Borch,Borchsingel,41,9766 PP,EELDERWOLDE,1730,TYNAARLO,0505218088,primary
Drenthe,obs De Westerburcht,Jan Steenweg,1,9761 HJ,EELDE,1730,TYNAARLO,0503094437,primary
Drenthe,BS De Bosrank,Havelter Schapendrift,22,7971 BC,HAVELTE,1701,WESTERVELD,0521227521,primary
Drenthe,KC De Vuursteen,Oude Dijk,59,8351 HR,WAPSERVEEN,1701,WESTERVELD,0521321411,primary
Drenthe,Oosterveldschool,Schoolstraat,4,7975 AC,UFFELTE,1701,WESTERVELD,0521351307,primary
Drenthe,Openbare Basisschool De Hoekstee,De Hoek,26,8381 BL,VLEDDER,1701,WESTERVELD,0521381320,primary
Drenthe,Burgemeester W.A. Storkschool,Heuvelenweg,22-A,7991 CL,DWINGELOO,1701,WESTERVELD,0521591347,primary
Drenthe,Openbare Basisschool De Kievitshoek,Linthorst Homanstraat,24,8384 EE,WILHELMINAOORD,1701,WESTERVELD,0521381536,primary
Drenthe,Openbare Basisschool De Singelier,Schipper,11,7981 DV,DIEVER,1701,WESTERVELD,0521591257,primary
Drenthe,Ten Darperschoele,Ten Darperweg,50,7983 KN,WAPSE,1701,WESTERVELD,0521551332,primary
Drenthe,KC 't Echtenest,Schoolakkers,2-B,7932 PM,ECHTEN DR,1690,DE WOLDEN,0528251558,primary
Drenthe,KC De Klimtoren,Drogteropslagen,57,7705 PD,DROGTEROPSLAGEN,1690,DE WOLDEN,0523614130,primary
Drenthe,IKC 't Oelebröd,Mr. Harm Smeengestraat,56,7963 BZ,RUINEN,1690,DE WOLDEN,0522471805,primary
Drenthe,KC De Bosrand,Jan Haarstraat,28,7926 TC,KERKENVELD,1690,DE WOLDEN,0528361666,primary
Drenthe,KC Het Veldboeket,Schoolweg,19,7924 PL,VEENINGEN,1690,DE WOLDEN,0528391555,primary
Drenthe,IKC Het Groene Hart,Schoolbrink,1,7921 HG,ZUIDWOLDE DR,1690,DE WOLDEN,0528372007,primary
Drenthe,OBS de Wezeboom,Schoolstraat,28,7961 NJ,RUINERWOLD,1690,DE WOLDEN,0522481330,primary
Drenthe,Openbare Basisschool de Dissel-Daltonschool,Dijkhuizen,68-A,7961 AM,RUINERWOLD,1690,DE WOLDEN,0522481488,primary
Drenthe,Basisschool De Rozebottel,Sportlaan,14,7958 SM,KOEKANGE,1690,DE WOLDEN,0522451511,primary
Drenthe,IKC De Horst,Postweg,43-A,7957 BV,DE WIJK,1690,DE WOLDEN,0522441942,primary
Drenthe,Openbare Basisschool J. Emmens,Ceresstraat,8,9514 CA,GASSELTERNIJVEEN,1680,AA EN HUNZE,0599512743,primary
Drenthe,Openbare Basisschool De Dobbe,Achter de Brinken,6-C,9462 RH,GASSELTE,1680,AA EN HUNZE,0599564750,primary
Drenthe,Basisschool De Flint,Markeweg,10,9454 PM,EKEHAAR,1680,AA EN HUNZE,0592389338,primary
Drenthe,Basisschool Gieten,Spoorstraat,2,9461 DA,GIETEN,1680,AA EN HUNZE,0592262796,primary
Drenthe,Basisschool De Drift,De Pol,4-A,9444 XE,GROLLOO,1680,AA EN HUNZE,0592501480,primary
Drenthe,Bonnerschool,Bonnen,29,9461 AC,GIETEN,1680,AA EN HUNZE,0592262158,primary
Drenthe,Basisschool Jan Thies,Menso Altinglaan,4,9451 KE,ROLDE,1680,AA EN HUNZE,0592241303,primary
Drenthe,Basisschool Anloo,Kerkbrink,2,9467 PH,ANLOO,1680,AA EN HUNZE,0592272079,primary
Drenthe,Samenwerkingsschool Oostermoer,Bonnerveen,7-A,9511 PM,GIETERVEEN,1680,AA EN HUNZE,0599648953,primary
Drenthe,Basisschool de Eshoek,Molenakkers,30,9468 BM,ANNEN,1680,AA EN HUNZE,0592271316,primary
Drenthe,Basisschool Prins Willem Alexander,'t Witzand,22,9463 PA,EEXT,1680,AA EN HUNZE,0596852718,primary
Drenthe,Basisschool de Kameleon,Dorpsstraat,54,9658 PC,EEXTERVEEN,1680,AA EN HUNZE,0598468377,primary
Drenthe,o.b.s. De Meander,Molenstraat,3-B,9531 CH,BORGER,1681,BORGER-ODOORN,0599234690,primary
Drenthe,Daltonschool Ees,Schoolstraat,4,9536 PN,EES,1681,BORGER-ODOORN,0599235850,primary
Drenthe,Ekkelhof,Schoolstraat,12,9533 PL,DROUWEN,1681,BORGER-ODOORN,0599565391,primary
Drenthe,Nieuw Buinen 75,Zuiderdiep,3,9521 AA,NIEUW-BUINEN,1681,BORGER-ODOORN,0599212440,primary
Drenthe,Openbare Basisschool De Poolster,Noorderdiep,129,9521 BC,NIEUW-BUINEN,1681,BORGER-ODOORN,0599650060,primary
Drenthe,De Aanloop,Wilhelminalaan,4,7876 HA,VALTHERMOND,1681,BORGER-ODOORN,0599661738,primary
Drenthe,Openbare Basisschool De Westhoek,Schoolstraat,27,9571 CB,2E EXLOERMOND,1681,BORGER-ODOORN,0599671925,primary
Drenthe,Basisschool De Linderakkers,Linderakkers,3,7872 PM,VALTHE,1681,BORGER-ODOORN,0591513592,primary
Drenthe,Basisschool De Weiert,De Goorns,28,7873 AM,ODOORN,1681,BORGER-ODOORN,0591513450,primary
Drenthe,Openbare Basisschool De Zweng,Hoofdstraat,62,7875 AD,EXLOO,1681,BORGER-ODOORN,0591549713,primary
Drenthe,OBS De Zandloper,Cavaljeweg,29,7934 PJ,STUIFZAND,0118,HOOGEVEEN,0528269837,primary
Drenthe,Het Spectrum,Stoekeplein,1,7902 HM,HOOGEVEEN,0118,HOOGEVEEN,0528270080,primary
Drenthe,'t Kienholt,Van Leeuwenhoekstraat,85,7908 BJ,HOOGEVEEN,0118,HOOGEVEEN,0528271335,primary
Drenthe,De Schuthoek,Booyenverlaat,7,7908 EE,HOOGEVEEN,0118,HOOGEVEEN,0528276003,primary
Drenthe,Apollo,Orion,16-A,7904 LG,HOOGEVEEN,0118,HOOGEVEEN,0528262616,primary
Drenthe,Het Hoeltien,Kerkenkavel,40,7913 AT,HOLLANDSCHEVELD,0118,HOOGEVEEN,0528343195,primary
Drenthe,OBS De Driesprong,De Spil,5,7918 AX,NIEUWLANDE,0118,HOOGEVEEN,0528351692,primary
Drenthe,'T Rastholt,Tilber,9,7908 PB,HOOGEVEEN,0118,HOOGEVEEN,0528278118,primary
Drenthe,Basisschool De Rank - school met de Bijbel,Floralaan,3,9301 KE,RODEN,1699,NOORDENVELD,0505017840,primary
Drenthe,Basisschool De Cirkel - school met de Bijbel,Prins Bernhardstraat,11,9402 AR,ASSEN,0106,ASSEN,0592340155,primary
Drenthe,Basisschool De Parel - school met de Bijbel,Aletta Jacobsweg,78,9408 AM,ASSEN,0106,ASSEN,0592342819,primary
Drenthe,Basisschool de Lichtkring - school met de Bijbel,Larikslaan,2,9471 RM,ZUIDLAREN,1730,TYNAARLO,0504091571,primary
Drenthe,Basisschool De Driesprong - school met de Bijbel,Martin Luther Kingweg,46,9403 PA,ASSEN,0106,ASSEN,0592372295,primary
Drenthe,KC Baggelhuizen,Witterhoofdweg,1-B,9405 HX,ASSEN,0106,ASSEN,0592820530,primary
Drenthe,Openbare Basisschool De Driemaster,Amstelstraat,14-A,9406 TH,ASSEN,0106,ASSEN,0592820530,primary
Drenthe,Emmaschool,Prinses Irenestraat,6,9401 HH,ASSEN,0106,ASSEN,0592820640,primary
Drenthe,Basisschool Valkenhorst,Bremstraat,14,9404 GD,ASSEN,0106,ASSEN,0592820630,primary
Drenthe,o.b.s.Theo Thijssen,Sluisstraat,139,9406 AX,ASSEN,0106,ASSEN,0592820620,primary
Drenthe,Basisschool de Vuurvogel,Obrechtlaan,1-3,9402 TB,ASSEN,0106,ASSEN,0592820610,primary
Drenthe,De Veldkei,Veenwalweg,5-7,9407 AM,ASSEN,0106,ASSEN,0592820520,primary
Drenthe,Basisschool De Marskramer,Kleuvenstee,1,9403 LT,ASSEN,0106,ASSEN,0592820580,primary
Drenthe,Openbare Basisschool Heksenketel,Tarwehullen,1,9403 WD,ASSEN,0106,ASSEN,0592820590,primary
Drenthe,Het Sterrenschip,Schoolstraat,31,9408 MB,ASSEN,0106,ASSEN,0592820550,primary
Drenthe,Openbare Basisschool Kloosterveen,De Boomgaard,5,9408 JA,ASSEN,0106,ASSEN,0592820560,primary
Drenthe,Openbare Basisschool 't Eenspan,Oosterstraat,58,7822 HG,EMMEN,0114,EMMEN,0591659840,primary
Drenthe,Openbare Basisschool 2 Emmen Mr Vegter,Bargermeerweg,113,7811 LD,EMMEN,0114,EMMEN,0591659842,primary
Drenthe,Openbare Basisschool De Esdoorn,Buiskoolstraat,1,7814 RC,EMMEN,0114,EMMEN,0591659848,primary
Drenthe,Openbare Basisschool Emmermeer,Middenhaag,4,7815 LB,EMMEN,0114,EMMEN,0591659896,primary
Drenthe,Openbare Basisschool Angelslo,Smedingeslag,1,7824 HK,EMMEN,0114,EMMEN,0591625269,primary
Drenthe,De Kubus,Houtweg,403,7823 PS,EMMEN,0114,EMMEN,0591622100,primary
Drenthe,Openbare Basisschool op 't Veld,Barnar,5-A,7826 EP,EMMEN,0114,EMMEN,0591629364,primary
Drenthe,Openbare Basisschool De Hesselanden,Wilhelmsweg,85-A,7814 VG,EMMEN,0114,EMMEN,0591673062,primary
Drenthe,Openbare Basisschool Bargeres,Mantingerbrink,203,7812 MD,EMMEN,0114,EMMEN,0591659850,primary
Drenthe,De Bente Openbare Basisschool,Westerdiep OZ,96,7881 HG,EMMER-COMPASCUUM,0114,EMMEN,0591353320,primary
Drenthe,Openbare Basisschool de Mende,Wikkel,5,7881 BA,EMMER-COMPASCUUM,0114,EMMEN,0591351446,primary
Drenthe,Openbare Basisschool De Dreef,Kanaal A NZ,102,7881 KL,EMMER-COMPASCUUM,0114,EMMEN,0591352653,primary
Drenthe,Openbare Basisschool Erica De Anbrenge,Semsstraat,2,7887 AD,ERICA,0114,EMMEN,0591301824,primary
Drenthe,OBS Klazienaveen,Van Echtenstraat,26,7891 LM,KLAZIENAVEEN,0114,EMMEN,0591240000,primary
Drenthe,Openbare Basischool De Bascule,Sportlaan,85,7833 CH,NIEUW-AMSTERDAM,0114,EMMEN,0591552042,primary
Drenthe,Openbare Basisschool Dordse Til,Walevest,10,7885 AK,NIEUW-DORDRECHT,0114,EMMEN,0591390175,primary
Drenthe,Openbare Basisschool 't Koppel,Gedempte Achterdiep,9,7831 CJ,NIEUW-WEERDINGE,0114,EMMEN,0591527089,primary
Drenthe,Openbare Basisschool De Dreske,Roswinkelerstraat,131,7895 AR,ROSWINKEL,0114,EMMEN,0591352907,primary
Drenthe,Openbare Basisschool 't Swarte Meer,De Blokken,22,7894 CL,ZWARTEMEER,0114,EMMEN,0591390213,primary
Drenthe,Openbare basischool De Iemenhof,Spanjaardspad,86,7761 BR,SCHOONEBEEK,0114,EMMEN,0524531231,primary
Drenthe,Openbare Basisschool De Vlonder,Giervalk,20,7827 HX,EMMEN,0114,EMMEN,0591678111,primary
Drenthe,Openbare Basisschool De Lisdodde,Ganzenveld,85,7827 SE,EMMEN,0114,EMMEN,0591677908,primary
Drenthe,Openbare Basisschool Montessori,A.L. Lesturgeonstraat,3,7815 VD,EMMEN,0114,EMMEN,0591659874,primary
Drenthe,Delftlanden,Zandzoom,19,7814 VH,EMMEN,0114,EMMEN,0591685555,primary
Drenthe,Kindcentrum De Schans,Norgerweg,18,9342 PH,EEN,1699,NOORDENVELD,0592656308,primary
Drenthe,Kindcentrum De Hekakker,Brinkhofweide,8,9331 AD,NORG,1699,NOORDENVELD,0592613224,primary
Drenthe,Kindcentrum 't Spectrum,Hereweg,1-D,9321 CL,PEIZE,1699,NOORDENVELD,0505033612,primary
Drenthe,Kindcentrum De Elsakker,Schoolstraat,5,9337 PB,WESTERVELDE,1699,NOORDENVELD,0592613991,primary
Drenthe,Kindcentrum De Eskampen,Boerakkerweg,2-A,9321 EL,PEIZE,1699,NOORDENVELD,0505033158,primary
Drenthe,Kindcentrum De Marke,Molenweg,1,9301 JD,RODEN,1699,NOORDENVELD,0505017434,primary
Drenthe,Kindcentrum De Tandem,Klimop,2,9301 PK,RODEN,1699,NOORDENVELD, ,primary
Drenthe,Kindcentrum Het Valkhof,Schonauwen,2,9301 SP,RODEN,1699,NOORDENVELD,0505017300,primary
Drenthe,Kindcentrum De Poolster,Zevenhuisterweg,3,9311 VA,NIEUW-RODEN,1699,NOORDENVELD,0505017772,primary
Drenthe,Kindcentrum De Flint,J.P. Santeeweg,109,9312 TA,NIETAP,1699,NOORDENVELD,0594514649,primary
Drenthe,Kindcentrum Het Palet,Hoofdstraat,21-B,9315 PA,RODERWOLDE,1699,NOORDENVELD,0505033551,primary
Drenthe,Sint Gerardus,Splitting,145,7826 CT,EMMEN,0114,EMMEN,0591622465,primary
