PROVINCIE,INSTELLINGSNAAM,STRAATNAAM,HUISNUMMER-TOEVOEGING,POSTCODE,PLAATSNAAM,GEMEENTENUMMER,GEMEENTENAAM,TELEFOONNUMMER,school_type
Gelderland,Integraal Kind Centrum Hei en Bos,Middenweg,31,7351 BA,HOENDERLOO,0200,APELDOORN,0552075741,primary
Gelderland,Eben Haezerschool,Bloemstraat,107,8096 VN,OLDEBROEK,0269,OLDEBROEK,0525631787,primary
Gelderland,Juliana van Stolbergschool,Dorpsweg,2,5307 HK,POEDEROIJEN,0297,ZALTBOMMEL,0418671315,primary
Gelderland,Vereniging tot het Verstrekken van Basisonderwijs op Gereformeerde Grondslag,Delkant,4,5311 CJ,GAMEREN,0297,ZALTBOMMEL,0418561899,primary
Gelderland,School met de Bijbel de Wegwijzer,Schiksweg,12,8097 SG,OOSTERWOLDE GLD,0269,OLDEBROEK,0525621300,primary
Gelderland,Rooms Katholieke Basisschool Gerardus Majella,Boxhofstede,17,8171 KC,VAASSEN,0232,EPE,0578571786,primary
Gelderland,RK Basissch C v Leeuwen,H.A. Lorentzstraat,1,6961 XK,EERBEEK,0213,BRUMMEN,0313651776,primary
Gelderland,De Waterval,Hoofdweg,53,7371 AE,LOENEN,0200,APELDOORN,0555051489,primary
Gelderland,Rooms Katholieke Basisschool De Krugerstee,Potgieterstraat,20,8172 XC,VAASSEN,0232,EPE,0578572546,primary
Gelderland,Rooms Katholieke Basisschool Pancratius,Oude Eerbeekseweg,5,6971 BL,BRUMMEN,0213,BRUMMEN,0575561906,primary
Gelderland,Rooms Katholieke Basisschool Sint Bernardus,Willem Tellstraat,70,8162 ET,EPE,0232,EPE,0578613068,primary
Gelderland,Rooms Katholieke Basisschool De Korf,Postmeestersdreef,2,7328 KM,APELDOORN,0200,APELDOORN,0555336094,primary
Gelderland,Katholieke Basisschool De Zonnewende,Zonnewende,14,7325 ET,APELDOORN,0200,APELDOORN,0553601967,primary
Gelderland,Rooms Katholieke Basisschool De Schakel,Rederijkershoeve,21,7326 TH,APELDOORN,0200,APELDOORN,0555338405,primary
Gelderland,Rooms Katholieke Basisschool De Zevensprong,Pythagorasstraat,384,7323 HW,APELDOORN,0200,APELDOORN,0553604944,primary
Gelderland,Rooms Katholieke Basisschool Anne Frank,Regentesselaan,34,7316 AG,APELDOORN,0200,APELDOORN,0555211746,primary
Gelderland,Rooms Katholieke Basisschool St Victor,Kooiweg,29,7312 CA,APELDOORN,0200,APELDOORN,0553554859,primary
Gelderland,Rooms Katholieke Basisschool Sebastiaan,1e Wormenseweg,460,7333 GZ,APELDOORN,0200,APELDOORN,0555335355,primary
Gelderland,Rooms Katholieke Basisschool Hertog V Gelre,Morellenlaan,47,7322 JS,APELDOORN,0200,APELDOORN,0553665298,primary
Gelderland,Rooms Katholieke Basisschool Eloy,Klingelbeek,28,7339 LD,UGCHELEN,0200,APELDOORN,0555335033,primary
Gelderland,Eben Haezerschool,Apeldoornseweg,22,8075 BN,ELSPEET,0302,NUNSPEET,0577492380,primary
Gelderland,Rooms Katholieke Basisschool De Plakkenberg,Pastoor Bluemersplein,5,7064 BK,SILVOLDE,1509,OUDE IJSSELSTREEK,0315324236,primary
Gelderland,Antonius,Vicariestraat,2,7137 MN,LIEVELDE,1586,OOST GELRE,0544372635,primary
Gelderland,Sint Joseph-School,Dorpsstraat,66,7136 LN,ZIEUWENT,1586,OOST GELRE,0544351577,primary
