PROVINCIE,INSTELLINGSNAAM,STRAATNAAM,HUISNUMMER-TOEVOEGING,POSTCODE,PLAATSNAAM,GEMEENTENUMMER,GEMEENTENAAM,TELEFOONNUMMER,school_type
Zuid-Holland,Stichting Albeda,Rosestraat,1101,3071 AL,ROTTERDAM,0599,ROTTERDAM,0102901010,vocational
Zuid-Holland,Regionaal Opleidingen Centrum Da Vinci College,Leerparkpromenade,100,3312 KW,DORDRECHT,0505,DORDRECHT,0886572657,vocational
Zuid-Holland,mboRijnland,Betaplein,18,2321 KS,LEIDEN,0546,LEIDEN,0882221777,vocational
Zuid-Holland,ROC Mondriaan,Leeghwaterplein,72,2521 DB,'S-GRAVENHAGE,0518,S GRAVENHAGE,0886663300,vocational
Drenthe,Drenthe College Terra,Anne de Vriesstraat,70,9402 NT,ASSEN,0106,ASSEN,0881884444,vocational
Noord-Brabant,Curio,Trivium,74,4873 LP,ETTEN-LEUR,0777,ETTEN-LEUR,0765048000,vocational
Noord-Brabant,Stg ROC Summa College,Habsburglaan,1,5616 HV,EINDHOVEN,0772,EINDHOVEN,0402694000,vocational
Noord-Brabant,Scholengemeenschap De Rooi Pannen,Dr. Ahausstraat,1,5042 EK,TILBURG,0855,TILBURG,0135002100,vocational
Noord-Holland,Vonk,Drechterwaard,10-A,1824 EX,ALKMAAR,0361,ALKMAAR,0725147666,vocational
Overijssel,Stichting Landstede,Rechterland,1,8024 AH,ZWOLLE,0193,ZWOLLE,0888508040,vocational
