PROVINCIE;BEVOEGD GEZAG NUMMER;INSTELLINGSCODE;INSTELLINGSNAAM;STRAATNAAM;HUISNUMMER-TOEVOEGING;POSTCODE;PLAATSNAAM;GEMEENTENUMMER;GEMEENTENAAM;DENOMINATIE;TELEFOONNUMMER;INTERNETADRES;STRAATNAAM CORRESPONDENTIEADRES;HUISNUMMER-TOEVOEGING CORRESPONDENTIEADRES;POSTCODE CORRESPONDENTIEADRES;PLAATSNAAM CORRESPONDENTIEADRES;NODAAL GEBIED CODE;NODAAL GEBIED NAAM;RPA-GEBIED CODE;RPA-GEBIED NAAM;WGR-GEBIED CODE;WGR-GEBIED NAAM;COROPGEBIED CODE;COROPGEBIED NAAM;ONDERWIJSGEBIED CODE;ONDERWIJSGEBIED NAAM;RMC-REGIO CODE;RMC-REGIO NAAM
Noord-Holland;75375;04YU;Rooms Katholieke Basisschool De Hoeksteen;Roerdompplein;9;1602 RW;ENKHUIZEN;0388;ENKHUIZEN;Rooms-Katholiek;0228313662;www.skowf.nl/site/dehoeksteen;Roerdompplein;9;1602 RW;ENKHUIZEN;39;Enkhuizen;19;Noord-Holland-Noord;22;Westfriesland;18;Kop van Noord-Holland;14;Noord-Noord-Holland;22;West-Friesland
Noord-Holland;75375;05CS;Jozefschool;Zandbergen;2;1671 MA;MEDEMBLIK;0420;MEDEMBLIK;Rooms-Katholiek;0227542146;www.skowf.nl/site/jozefschool-medemblik;Zandbergen;2;1671 MA;MEDEMBLIK;40;Hoorn;19;Noord-Holland-Noord;22;Westfriesland;18;Kop van Noord-Holland;14;Noord-Noord-Holland;22;West-Friesland
Noord-Holland;75375;05CX;St Nicolaas school;Ganker;1;1688 CR;NIBBIXWOUD;0420;MEDEMBLIK;Rooms-Katholiek;0229571627;www.skowf.nl/site/stnicolaasschool;Ganker;1;1688 CR;NIBBIXWOUD;40;Hoorn;19;Noord-Holland-Noord;22;Westfriesland;18;Kop van Noord-Holland;14;Noord-Noord-Holland;22;West-Friesland
Noord-Holland;75375;05IF;RK Basisschool de Caegh;Laan van Meerweijde;2;1713 BM;OBDAM;1598;KOGGENLAND;Rooms-Katholiek;0226451375;www.skowf.nl/site/decaegh;Laan van Meerweijde;2;1713 BM;OBDAM;40;Hoorn;19;Noord-Holland-Noord;22;Westfriesland;18;Kop van Noord-Holland;14;Noord-Noord-Holland;22;West-Friesland
Noord-Holland;75375;05JZ;Basisschool Gerardus Majella;Sportlaan;12;1693 CZ;WERVERSHOOF;0420;MEDEMBLIK;Rooms-Katholiek;0228582338;www.skowf.nl/site/gerardusmajellaschool;Postbus;102;1693 ZJ;WERVERSHOOF;40;Hoorn;19;Noord-Holland-Noord;22;Westfriesland;18;Kop van Noord-Holland;14;Noord-Noord-Holland;22;West-Friesland
Noord-Holland;75375;06LF;Basisschool De Schelp;Europasingel;110;1693 GV;WERVERSHOOF;0420;MEDEMBLIK;Rooms-Katholiek;0228581761;www.skowf.nl/site/deschelp;Europasingel;110;1693 GV;WERVERSHOOF;40;Hoorn;19;Noord-Holland-Noord;22;Westfriesland;18;Kop van Noord-Holland;14;Noord-Noord-Holland;22;West-Friesland
Noord-Holland;75375;06MD;BAVO-School;Middengouw;13;1645 PN;URSEM;1598;KOGGENLAND;Rooms-Katholiek;0725021422;www.skowf.nl/site/bavoschool;Middengouw;13;1645 PN;URSEM;40;Hoorn;19;Noord-Holland-Noord;22;Westfriesland;18;Kop van Noord-Holland;14;Noord-Noord-Holland;22;West-Friesland
Noord-Holland;75375;06TH;Rooms Katholieke Basisschool Sint Lidwina;Zwaagdijk;423;1685 PD;ZWAAGDIJK-WEST;0420;MEDEMBLIK;Rooms-Katholiek;0229573134;www.skowf.nl/site/stlidwinaschool;Zwaagdijk;423;1685 PD;ZWAAGDIJK-WEST;40;Hoorn;19;Noord-Holland-Noord;22;Westfriesland;18;Kop van Noord-Holland;14;Noord-Noord-Holland;22;West-Friesland
Noord-Holland;75375;06TM;Rooms Katholieke Basisschool Sint Jozef;Zwaagdijk;204;1682 NP;ZWAAGDIJK-OOST;0420;MEDEMBLIK;Rooms-Katholiek;0228581424;www.skowf.nl/site/stjozefschool;Zwaagdijk;204;1682 NP;ZWAAGDIJK-OOST;40;Hoorn;19;Noord-Holland-Noord;22;Westfriesland;18;Kop van Noord-Holland;14;Noord-Noord-Holland;22;West-Friesland
Noord-Holland;75375;07AO;Petrus Canisiusschool;Vekenweg;4;1663 BA;DE WEERE;0432;OPMEER;Rooms-Katholiek;0229581335;www.petruscanisiusschool.nl;Vekenweg;4;1663 BA;DE WEERE;40;Hoorn;19;Noord-Holland-Noord;22;Westfriesland;18;Kop van Noord-Holland;14;Noord-Noord-Holland;22;West-Friesland
Noord-Holland;75375;07AP;Rooms Katholieke Basisschool St Bernadette;Zuidermeerweg;58;1652 CV;ZUIDERMEER;1598;KOGGENLAND;Rooms-Katholiek;0229561456;www.skowf.nl/site/stbernadette;Zuidermeerweg;58;1652 CV;ZUIDERMEER;40;Hoorn;19;Noord-Holland-Noord;22;Westfriesland;18;Kop van Noord-Holland;14;Noord-Noord-Holland;22;West-Friesland
Noord-Holland;75375;07BI;Jozef en Mariaschool;Pieter Koppesstraat;14;1641 LS;SPIERDIJK;1598;KOGGENLAND;Rooms-Katholiek;0229561493;www.skowf.nl/site/jozefenmariaschool;Pieter Koppesstraat;14;1641 LS;SPIERDIJK;40;Hoorn;19;Noord-Holland-Noord;22;Westfriesland;18;Kop van Noord-Holland;14;Noord-Noord-Holland;22;West-Friesland
Noord-Holland;75375;07QF;Rooms Katholieke Basisschool Pancratius;Doelenstraat;17;1601 GL;ENKHUIZEN;0388;ENKHUIZEN;Rooms-Katholiek;0228312846;www.skowf.nl/site/pancratius;Doelenstraat;17;1601 GL;ENKHUIZEN;39;Enkhuizen;19;Noord-Holland-Noord;22;Westfriesland;18;Kop van Noord-Holland;14;Noord-Noord-Holland;22;West-Friesland
